code_naf,temps_code,cluster,mediane,q1,q3,etendue
0111Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
0121Z,temps_code1,0,36.4,32.38,42.05,25.92
0128Z,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
0130Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
0143Z,temps_code1,1,6.25,3.85,9.6,13.7
0147Z,temps_code1,0,36.4,32.38,42.05,25.92
0149Z,temps_code1,1,6.25,3.85,9.6,13.7
0161Z,temps_code1,0,36.4,32.38,42.05,25.92
0162Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
0240Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1013B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1020Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1071C,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1071D,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1071c,temps_code1,1,6.25,3.85,9.6,13.7
1071d,temps_code1,0,36.4,32.38,42.05,25.92
1072Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1073Z,temps_code1,0,36.4,32.38,42.05,25.92
1082Z,temps_code1,0,36.4,32.38,42.05,25.92
1083Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1085Z,temps_code1,1,6.25,3.85,9.6,13.7
1101Z,temps_code1,0,36.4,32.38,42.05,25.92
1105Z,temps_code1,0,36.4,32.38,42.05,25.92
1399Z,temps_code1,1,6.25,3.85,9.6,13.7
1412Z,temps_code1,0,36.4,32.38,42.05,25.92
1413Z,temps_code1,1,6.25,3.85,9.6,13.7
1610B,temps_code1,0,36.4,32.38,42.05,25.92
1624Z,temps_code1,0,36.4,32.38,42.05,25.92
1629Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1721B,temps_code1,0,36.4,32.38,42.05,25.92
1812Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
1813Z,temps_code1,0,36.4,32.38,42.05,25.92
2222Z,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
2229B,temps_code1,1,6.25,3.85,9.6,13.7
2312Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
2319Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
2370Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
2511Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
2512Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
2540Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
2561Z,temps_code1,1,6.25,3.85,9.6,13.7
2562B,temps_code1,0,36.4,32.38,42.05,25.92
2612Z,temps_code1,0,36.4,32.38,42.05,25.92
2660Z,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
2812Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
2829A,temps_code1,0,36.4,32.38,42.05,25.92
2829B,temps_code1,0,36.4,32.38,42.05,25.92
2849z,temps_code1,0,36.4,32.38,42.05,25.92
2899A,temps_code1,0,36.4,32.38,42.05,25.92
2899B,temps_code1,0,36.4,32.38,42.05,25.92
2920Z,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
3012Z,temps_code1,1,6.25,3.85,9.6,13.7
3109B,temps_code1,1,6.25,3.85,9.6,13.7
3212Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
3250A,temps_code1,0,36.4,32.38,42.05,25.92
3312Z,temps_code1,0,36.4,32.38,42.05,25.92
3320A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
3320B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
3320C,temps_code1,3,20.35,16.98,24.43,15.540000000000001
3320D,temps_code1,0,36.4,32.38,42.05,25.92
3511Z,temps_code1,1,6.25,3.85,9.6,13.7
4110A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4110C,temps_code1,1,6.25,3.85,9.6,13.7
4110D,temps_code1,1,6.25,3.85,9.6,13.7
4110d,temps_code1,1,6.25,3.85,9.6,13.7
4120A,temps_code1,0,36.4,32.38,42.05,25.92
4120B,temps_code1,0,36.4,32.38,42.05,25.92
4299Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4312A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4321A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4321B,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
4321a,temps_code1,1,6.25,3.85,9.6,13.7
4322A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4322B,temps_code1,0,36.4,32.38,42.05,25.92
4329A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4329B,temps_code1,0,36.4,32.38,42.05,25.92
4331Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4332A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4332B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4332C,temps_code1,0,36.4,32.38,42.05,25.92
4332b,temps_code1,1,6.25,3.85,9.6,13.7
4333Z,temps_code1,1,6.25,3.85,9.6,13.7
4334Z,temps_code1,1,6.25,3.85,9.6,13.7
4339Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4391A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4391B,temps_code1,0,36.4,32.38,42.05,25.92
4399A,temps_code1,0,36.4,32.38,42.05,25.92
4399B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4399C,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4399D,temps_code1,0,36.4,32.38,42.05,25.92
4399E,temps_code1,0,36.4,32.38,42.05,25.92
4511Z,temps_code1,0,36.4,32.38,42.05,25.92
4511z,temps_code1,0,36.4,32.38,42.05,25.92
4519Z,temps_code1,0,36.4,32.38,42.05,25.92
4520A,temps_code1,0,36.4,32.38,42.05,25.92
4532Z,temps_code1,0,36.4,32.38,42.05,25.92
4540Z,temps_code1,0,36.4,32.38,42.05,25.92
4613Z,temps_code1,1,6.25,3.85,9.6,13.7
4618Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4619A,temps_code1,0,36.4,32.38,42.05,25.92
4619B,temps_code1,1,6.25,3.85,9.6,13.7
4631Z,temps_code1,1,6.25,3.85,9.6,13.7
4634Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4641Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4645Z,temps_code1,0,36.4,32.38,42.05,25.92
4646Z,temps_code1,1,6.25,3.85,9.6,13.7
4647Z,temps_code1,1,6.25,3.85,9.6,13.7
4649Z,temps_code1,0,36.4,32.38,42.05,25.92
4651Z,temps_code1,1,6.25,3.85,9.6,13.7
4669A,temps_code1,1,6.25,3.85,9.6,13.7
4669B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4669C,temps_code1,1,6.25,3.85,9.6,13.7
4672Z,temps_code1,0,36.4,32.38,42.05,25.92
4673A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4673B,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
4674A,temps_code1,1,6.25,3.85,9.6,13.7
4690Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4711B,temps_code1,0,36.4,32.38,42.05,25.92
4711C,temps_code1,0,36.4,32.38,42.05,25.92
4711D,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4721Z,temps_code1,0,36.4,32.38,42.05,25.92
4721z,temps_code1,0,36.4,32.38,42.05,25.92
4722Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4725Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4726Z,temps_code1,0,36.4,32.38,42.05,25.92
4729Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4754Z,temps_code1,0,36.4,32.38,42.05,25.92
4759A,temps_code1,0,36.4,32.38,42.05,25.92
4759B,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
4761Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4762Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4764Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4765Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4771Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4772A,temps_code1,0,36.4,32.38,42.05,25.92
4773Z,temps_code1,0,36.4,32.38,42.05,25.92
4774Z,temps_code1,0,36.4,32.38,42.05,25.92
4775Z,temps_code1,1,6.25,3.85,9.6,13.7
4776Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4778A,temps_code1,0,36.4,32.38,42.05,25.92
4778C,temps_code1,0,36.4,32.38,42.05,25.92
4781Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4789Z,temps_code1,1,6.25,3.85,9.6,13.7
4791A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4791B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4791b,temps_code1,3,20.35,16.98,24.43,15.540000000000001
4932Z,temps_code1,1,6.25,3.85,9.6,13.7
4939B,temps_code1,0,36.4,32.38,42.05,25.92
4941A,temps_code1,0,36.4,32.38,42.05,25.92
4941B,temps_code1,1,6.25,3.85,9.6,13.7
5223Z,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
5229B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
5320Z,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
5510Z,temps_code1,0,36.4,32.38,42.05,25.92
5520Z,temps_code1,1,6.25,3.85,9.6,13.7
5530Z,temps_code1,0,36.4,32.38,42.05,25.92
5610A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
5610C,temps_code1,3,20.35,16.98,24.43,15.540000000000001
5610a,temps_code1,3,20.35,16.98,24.43,15.540000000000001
5610c,temps_code1,1,6.25,3.85,9.6,13.7
5621Z,temps_code1,0,36.4,32.38,42.05,25.92
5630Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
5811Z,temps_code1,1,6.25,3.85,9.6,13.7
5814Z,temps_code1,1,6.25,3.85,9.6,13.7
5819Z,temps_code1,0,36.4,32.38,42.05,25.92
5829C,temps_code1,1,6.25,3.85,9.6,13.7
5911A,temps_code1,1,6.25,3.85,9.6,13.7
5911B,temps_code1,1,6.25,3.85,9.6,13.7
5911C,temps_code1,3,20.35,16.98,24.43,15.540000000000001
5920Z,temps_code1,1,6.25,3.85,9.6,13.7
6201Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
6202A,temps_code1,1,6.25,3.85,9.6,13.7
6209Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
6312Z,temps_code1,1,6.25,3.85,9.6,13.7
6420Z,temps_code1,1,6.25,3.85,9.6,13.7
6420z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
6430Z,temps_code1,1,6.25,3.85,9.6,13.7
6492Z,temps_code1,1,6.25,3.85,9.6,13.7
6619A,temps_code1,1,6.25,3.85,9.6,13.7
6619B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
6619a,temps_code1,1,6.25,3.85,9.6,13.7
6622Z,temps_code1,1,6.25,3.85,9.6,13.7
6630Z,temps_code1,1,6.25,3.85,9.6,13.7
6810Z,temps_code1,1,6.25,3.85,9.6,13.7
6820A,temps_code1,1,6.25,3.85,9.6,13.7
6820B,temps_code1,1,6.25,3.85,9.6,13.7
6820b,temps_code1,1,6.25,3.85,9.6,13.7
6831Z,temps_code1,1,6.25,3.85,9.6,13.7
6832A,temps_code1,1,6.25,3.85,9.6,13.7
6832B,temps_code1,1,6.25,3.85,9.6,13.7
6910Z,temps_code1,1,6.25,3.85,9.6,13.7
6910z,temps_code1,1,6.25,3.85,9.6,13.7
7010Z,temps_code1,1,6.25,3.85,9.6,13.7
7021Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7022Z,temps_code1,1,6.25,3.85,9.6,13.7
7111Z,temps_code1,1,6.25,3.85,9.6,13.7
7112A,temps_code1,1,6.25,3.85,9.6,13.7
7112B,temps_code1,1,6.25,3.85,9.6,13.7
7112b,temps_code1,1,6.25,3.85,9.6,13.7
7120A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7120B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7219Z,temps_code1,1,6.25,3.85,9.6,13.7
7311Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7312Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7410Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7420Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7490A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7490B,temps_code1,1,6.25,3.85,9.6,13.7
7490b,temps_code1,1,6.25,3.85,9.6,13.7
7500Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7711A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7721Z,temps_code1,1,6.25,3.85,9.6,13.7
7729Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7729z,temps_code1,0,36.4,32.38,42.05,25.92
7732Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
7739Z,temps_code1,1,6.25,3.85,9.6,13.7
7740Z,temps_code1,1,6.25,3.85,9.6,13.7
7820Z,temps_code1,2,66.905,60.0125,77.24,107.58999999999999
7911Z,temps_code1,0,36.4,32.38,42.05,25.92
7912Z,temps_code1,0,36.4,32.38,42.05,25.92
7990Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
8010Z,temps_code1,0,36.4,32.38,42.05,25.92
8121Z,temps_code1,0,36.4,32.38,42.05,25.92
8122Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
8129B,temps_code1,0,36.4,32.38,42.05,25.92
8130Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
8211Z,temps_code1,1,6.25,3.85,9.6,13.7
8219Z,temps_code1,1,6.25,3.85,9.6,13.7
8230Z,temps_code1,1,6.25,3.85,9.6,13.7
8299Z,temps_code1,1,6.25,3.85,9.6,13.7
8551Z,temps_code1,1,6.25,3.85,9.6,13.7
8552Z,temps_code1,1,6.25,3.85,9.6,13.7
8553Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
8559A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
8559B,temps_code1,1,6.25,3.85,9.6,13.7
8621Z,temps_code1,1,6.25,3.85,9.6,13.7
8622C,temps_code1,1,6.25,3.85,9.6,13.7
8623Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
8690A,temps_code1,0,36.4,32.38,42.05,25.92
8690D,temps_code1,1,6.25,3.85,9.6,13.7
8690E,temps_code1,1,6.25,3.85,9.6,13.7
8690F,temps_code1,1,6.25,3.85,9.6,13.7
8690d,temps_code1,1,6.25,3.85,9.6,13.7
8690e,temps_code1,1,6.25,3.85,9.6,13.7
8720A,temps_code1,0,36.4,32.38,42.05,25.92
8790A,temps_code1,0,36.4,32.38,42.05,25.92
8810A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
8891A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9001Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9002Z,temps_code1,1,6.25,3.85,9.6,13.7
9003B,temps_code1,1,6.25,3.85,9.6,13.7
9004Z,temps_code1,0,36.4,32.38,42.05,25.92
9311Z,temps_code1,1,6.25,3.85,9.6,13.7
9312Z,temps_code1,0,36.4,32.38,42.05,25.92
9313Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9329Z,temps_code1,1,6.25,3.85,9.6,13.7
9329z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9411Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9412Z,temps_code1,0,36.4,32.38,42.05,25.92
9499Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9511Z,temps_code1,0,36.4,32.38,42.05,25.92
9512Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9522Z,temps_code1,0,36.4,32.38,42.05,25.92
9525Z,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9529Z,temps_code1,1,6.25,3.85,9.6,13.7
9601B,temps_code1,1,6.25,3.85,9.6,13.7
9602A,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9602B,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9602a,temps_code1,3,20.35,16.98,24.43,15.540000000000001
9604Z,temps_code1,1,6.25,3.85,9.6,13.7
9609Z,temps_code1,1,6.25,3.85,9.6,13.7
IRPP,temps_code1,1,6.25,3.85,9.6,13.7
0111Z,temps_code3,0,2.33,0.9,4.4,7.03
0121Z,temps_code3,2,10.8,8.85,13.71,10.61
0128Z,temps_code3,1,22.17,19.52,27.18,21.06
0130Z,temps_code3,2,10.8,8.85,13.71,10.61
0143Z,temps_code3,0,2.33,0.9,4.4,7.03
0147Z,temps_code3,2,10.8,8.85,13.71,10.61
0149Z,temps_code3,0,2.33,0.9,4.4,7.03
0161Z,temps_code3,0,2.33,0.9,4.4,7.03
0162Z,temps_code3,0,2.33,0.9,4.4,7.03
0210Z,temps_code3,0,2.33,0.9,4.4,7.03
0240Z,temps_code3,2,10.8,8.85,13.71,10.61
1013B,temps_code3,2,10.8,8.85,13.71,10.61
1020Z,temps_code3,2,10.8,8.85,13.71,10.61
1071C,temps_code3,2,10.8,8.85,13.71,10.61
1071D,temps_code3,2,10.8,8.85,13.71,10.61
1071c,temps_code3,1,22.17,19.52,27.18,21.06
1071d,temps_code3,1,22.17,19.52,27.18,21.06
1072Z,temps_code3,0,2.33,0.9,4.4,7.03
1073Z,temps_code3,2,10.8,8.85,13.71,10.61
1082Z,temps_code3,2,10.8,8.85,13.71,10.61
1083Z,temps_code3,2,10.8,8.85,13.71,10.61
1085Z,temps_code3,0,2.33,0.9,4.4,7.03
1101Z,temps_code3,2,10.8,8.85,13.71,10.61
1105Z,temps_code3,0,2.33,0.9,4.4,7.03
1392Z,temps_code3,0,2.33,0.9,4.4,7.03
1399Z,temps_code3,2,10.8,8.85,13.71,10.61
1412Z,temps_code3,1,22.17,19.52,27.18,21.06
1413Z,temps_code3,0,2.33,0.9,4.4,7.03
1610B,temps_code3,1,22.17,19.52,27.18,21.06
1624Z,temps_code3,1,22.17,19.52,27.18,21.06
1629Z,temps_code3,1,22.17,19.52,27.18,21.06
1721B,temps_code3,2,10.8,8.85,13.71,10.61
1812Z,temps_code3,0,2.33,0.9,4.4,7.03
1813Z,temps_code3,2,10.8,8.85,13.71,10.61
2222Z,temps_code3,0,2.33,0.9,4.4,7.03
2229B,temps_code3,0,2.33,0.9,4.4,7.03
2312Z,temps_code3,0,2.33,0.9,4.4,7.03
2319Z,temps_code3,0,2.33,0.9,4.4,7.03
2370Z,temps_code3,0,2.33,0.9,4.4,7.03
2511Z,temps_code3,2,10.8,8.85,13.71,10.61
2512Z,temps_code3,0,2.33,0.9,4.4,7.03
2540Z,temps_code3,0,2.33,0.9,4.4,7.03
2561Z,temps_code3,0,2.33,0.9,4.4,7.03
2562B,temps_code3,1,22.17,19.52,27.18,21.06
2612Z,temps_code3,0,2.33,0.9,4.4,7.03
2660Z,temps_code3,3,46.8,41.92,57.325,89.85
2812Z,temps_code3,1,22.17,19.52,27.18,21.06
2829A,temps_code3,0,2.33,0.9,4.4,7.03
2829B,temps_code3,0,2.33,0.9,4.4,7.03
2849z,temps_code3,1,22.17,19.52,27.18,21.06
2899A,temps_code3,0,2.33,0.9,4.4,7.03
2899B,temps_code3,1,22.17,19.52,27.18,21.06
2920Z,temps_code3,0,2.33,0.9,4.4,7.03
3012Z,temps_code3,1,22.17,19.52,27.18,21.06
3109B,temps_code3,0,2.33,0.9,4.4,7.03
3212Z,temps_code3,2,10.8,8.85,13.71,10.61
3250A,temps_code3,2,10.8,8.85,13.71,10.61
3312Z,temps_code3,2,10.8,8.85,13.71,10.61
3320A,temps_code3,0,2.33,0.9,4.4,7.03
3320B,temps_code3,2,10.8,8.85,13.71,10.61
3320C,temps_code3,0,2.33,0.9,4.4,7.03
3320D,temps_code3,1,22.17,19.52,27.18,21.06
3511Z,temps_code3,0,2.33,0.9,4.4,7.03
4110A,temps_code3,0,2.33,0.9,4.4,7.03
4110d,temps_code3,0,2.33,0.9,4.4,7.03
4120A,temps_code3,2,10.8,8.85,13.71,10.61
4120B,temps_code3,0,2.33,0.9,4.4,7.03
4299Z,temps_code3,0,2.33,0.9,4.4,7.03
4312A,temps_code3,2,10.8,8.85,13.71,10.61
4321A,temps_code3,2,10.8,8.85,13.71,10.61
4321B,temps_code3,1,22.17,19.52,27.18,21.06
4321a,temps_code3,0,2.33,0.9,4.4,7.03
4322A,temps_code3,0,2.33,0.9,4.4,7.03
4322B,temps_code3,2,10.8,8.85,13.71,10.61
4329A,temps_code3,2,10.8,8.85,13.71,10.61
4329B,temps_code3,2,10.8,8.85,13.71,10.61
4331Z,temps_code3,2,10.8,8.85,13.71,10.61
4332A,temps_code3,2,10.8,8.85,13.71,10.61
4332B,temps_code3,1,22.17,19.52,27.18,21.06
4332C,temps_code3,3,46.8,41.92,57.325,89.85
4332b,temps_code3,0,2.33,0.9,4.4,7.03
4333Z,temps_code3,0,2.33,0.9,4.4,7.03
4334Z,temps_code3,0,2.33,0.9,4.4,7.03
4339Z,temps_code3,0,2.33,0.9,4.4,7.03
4391A,temps_code3,0,2.33,0.9,4.4,7.03
4391B,temps_code3,2,10.8,8.85,13.71,10.61
4399A,temps_code3,2,10.8,8.85,13.71,10.61
4399B,temps_code3,0,2.33,0.9,4.4,7.03
4399C,temps_code3,2,10.8,8.85,13.71,10.61
4399D,temps_code3,2,10.8,8.85,13.71,10.61
4399E,temps_code3,2,10.8,8.85,13.71,10.61
4511Z,temps_code3,0,2.33,0.9,4.4,7.03
4511z,temps_code3,2,10.8,8.85,13.71,10.61
4519Z,temps_code3,2,10.8,8.85,13.71,10.61
4520A,temps_code3,2,10.8,8.85,13.71,10.61
4532Z,temps_code3,2,10.8,8.85,13.71,10.61
4540Z,temps_code3,2,10.8,8.85,13.71,10.61
4613Z,temps_code3,0,2.33,0.9,4.4,7.03
4618Z,temps_code3,2,10.8,8.85,13.71,10.61
4619A,temps_code3,1,22.17,19.52,27.18,21.06
4619B,temps_code3,0,2.33,0.9,4.4,7.03
4623Z,temps_code3,2,10.8,8.85,13.71,10.61
4631Z,temps_code3,0,2.33,0.9,4.4,7.03
4634Z,temps_code3,2,10.8,8.85,13.71,10.61
4638B,temps_code3,0,2.33,0.9,4.4,7.03
4641Z,temps_code3,0,2.33,0.9,4.4,7.03
4645Z,temps_code3,1,22.17,19.52,27.18,21.06
4646Z,temps_code3,0,2.33,0.9,4.4,7.03
4647Z,temps_code3,0,2.33,0.9,4.4,7.03
4649Z,temps_code3,2,10.8,8.85,13.71,10.61
4651Z,temps_code3,0,2.33,0.9,4.4,7.03
4669A,temps_code3,0,2.33,0.9,4.4,7.03
4669B,temps_code3,2,10.8,8.85,13.71,10.61
4669C,temps_code3,2,10.8,8.85,13.71,10.61
4672Z,temps_code3,2,10.8,8.85,13.71,10.61
4673A,temps_code3,1,22.17,19.52,27.18,21.06
4673B,temps_code3,1,22.17,19.52,27.18,21.06
4674A,temps_code3,0,2.33,0.9,4.4,7.03
4690Z,temps_code3,0,2.33,0.9,4.4,7.03
4711B,temps_code3,2,10.8,8.85,13.71,10.61
4711C,temps_code3,1,22.17,19.52,27.18,21.06
4711D,temps_code3,2,10.8,8.85,13.71,10.61
4719B,temps_code3,0,2.33,0.9,4.4,7.03
4721Z,temps_code3,0,2.33,0.9,4.4,7.03
4721z,temps_code3,2,10.8,8.85,13.71,10.61
4722Z,temps_code3,2,10.8,8.85,13.71,10.61
4725Z,temps_code3,2,10.8,8.85,13.71,10.61
4726Z,temps_code3,2,10.8,8.85,13.71,10.61
4729Z,temps_code3,0,2.33,0.9,4.4,7.03
4754Z,temps_code3,2,10.8,8.85,13.71,10.61
4759A,temps_code3,1,22.17,19.52,27.18,21.06
4759B,temps_code3,0,2.33,0.9,4.4,7.03
4761Z,temps_code3,2,10.8,8.85,13.71,10.61
4762Z,temps_code3,0,2.33,0.9,4.4,7.03
4764Z,temps_code3,0,2.33,0.9,4.4,7.03
4765Z,temps_code3,2,10.8,8.85,13.71,10.61
4765z,temps_code3,0,2.33,0.9,4.4,7.03
4771Z,temps_code3,2,10.8,8.85,13.71,10.61
4772A,temps_code3,1,22.17,19.52,27.18,21.06
4773Z,temps_code3,0,2.33,0.9,4.4,7.03
4774Z,temps_code3,1,22.17,19.52,27.18,21.06
4775Z,temps_code3,0,2.33,0.9,4.4,7.03
4776Z,temps_code3,0,2.33,0.9,4.4,7.03
4778A,temps_code3,2,10.8,8.85,13.71,10.61
4778C,temps_code3,2,10.8,8.85,13.71,10.61
4781Z,temps_code3,0,2.33,0.9,4.4,7.03
4789Z,temps_code3,0,2.33,0.9,4.4,7.03
4791A,temps_code3,0,2.33,0.9,4.4,7.03
4791B,temps_code3,2,10.8,8.85,13.71,10.61
4791b,temps_code3,0,2.33,0.9,4.4,7.03
4799A,temps_code3,0,2.33,0.9,4.4,7.03
4932Z,temps_code3,0,2.33,0.9,4.4,7.03
4939B,temps_code3,2,10.8,8.85,13.71,10.61
4941A,temps_code3,2,10.8,8.85,13.71,10.61
4941B,temps_code3,0,2.33,0.9,4.4,7.03
5223Z,temps_code3,0,2.33,0.9,4.4,7.03
5229B,temps_code3,1,22.17,19.52,27.18,21.06
5320Z,temps_code3,3,46.8,41.92,57.325,89.85
5510Z,temps_code3,2,10.8,8.85,13.71,10.61
5520Z,temps_code3,0,2.33,0.9,4.4,7.03
5530Z,temps_code3,0,2.33,0.9,4.4,7.03
5610A,temps_code3,2,10.8,8.85,13.71,10.61
5610C,temps_code3,2,10.8,8.85,13.71,10.61
5610a,temps_code3,2,10.8,8.85,13.71,10.61
5610c,temps_code3,0,2.33,0.9,4.4,7.03
5621Z,temps_code3,2,10.8,8.85,13.71,10.61
5630Z,temps_code3,2,10.8,8.85,13.71,10.61
5811Z,temps_code3,0,2.33,0.9,4.4,7.03
5814Z,temps_code3,0,2.33,0.9,4.4,7.03
5819Z,temps_code3,2,10.8,8.85,13.71,10.61
5829C,temps_code3,0,2.33,0.9,4.4,7.03
